epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.3,41.5912811756134,0.0009785869488432544,resnet18,0.6237995117902756,93.74,91.42831678403523,99.16471879200121,46.380322822676014,38.81789137380191,9.903707155695187,7.902111536531416,6.329662352800369,2.620406150817871,38.98
2,0.3,19.18421483039856,0.0009532007396248067,resnet18,0.5672472318013508,94.03,91.86545653219125,99.26086556047534,49.43589523344844,38.358458961474035,8.828593218603922,7.0099874674731115,6.218913942575455,2.484138607978821,38.53
3,0.3,20.85661554336548,0.00091225532472354,resnet18,0.6841904692193295,94.57,91.92820230602761,99.34537758205333,42.28838601448406,39.59484346224678,7.744041885598108,6.242364092904281,7.99785703420639,2.4636851251125336,40.15
4,0.3,19.372178316116333,0.0008539690573131179,resnet18,0.6356736790566219,94.6,91.9536254012998,99.34491034815363,43.2716386663746,39.07407407407407,7.732106146042073,6.247129740066924,7.95588344335556,2.429886758327484,39.44
5,0.3,18.016308069229126,0.0007767642494108897,resnet18,0.6572264162999278,94.71,92.02426509817352,99.38744630299495,42.42393418975112,38.9413988657845,7.274013487964691,5.84946177576672,8.302751928567886,2.437448501586914,39.13
6,0.3,17.786115407943726,0.0006918401194717884,resnet18,0.7180601610077753,94.86,92.13253855159067,99.4111222317249,42.13592301952898,38.91050583657588,6.975356794759156,5.631143764727973,8.378022909164429,2.4037881195545197,39.69
7,0.3,16.211262941360474,0.0006033940668741604,resnet18,0.707398433883985,94.8,92.39309477442389,99.43235378949171,43.78248875508889,40.38461538461539,6.801208019701272,5.42514435700657,8.42684730887413,2.4098607897758484,40.58
8,0.3,16.067703247070312,0.000517461339082974,resnet18,0.6782587900642277,94.79,92.53975704248951,99.44937455630556,45.220745072806665,36.08445297504799,6.64296974918567,5.261560734371179,8.262386918067932,2.3839080333709717,36.47
9,0.3,16.43318772315979,0.000429992495146024,resnet18,0.7462550162365943,94.87,92.44900839992184,99.45254900752218,43.38619864234946,38.20662768031189,6.574988869605321,5.236047375387651,8.627435564994812,2.4096472561359406,39.18
10,0.3,16.348942518234253,0.00034860810645248347,resnet18,0.8577910579887091,94.85,92.5071369715084,99.44749352828892,45.057986296554844,38.44660194174757,6.631546648056802,5.282051540360944,8.602742850780487,2.408995181322098,39.03
11,0.3,16.24611473083496,0.0002810199449252586,resnet18,0.7246658254552771,94.86,92.31868221117993,99.44076246000486,42.9759450544953,40.856031128404666,6.692000372243391,5.347787342212208,8.394797891378403,2.3935283720493317,41.05
12,0.3,16.1475350856781,0.0001939374770519964,resnet18,0.5445197880268097,94.81,92.6929408964974,99.4666100999835,45.77232649579396,37.37957610789981,6.468786308078531,5.09805744898039,8.54131430387497,2.402762919664383,37.76
13,0.3,16.175944089889526,0.00014516103857386281,resnet18,0.7565630827631269,94.88,92.44983795320405,99.45433039322678,44.551153555229455,37.109375,6.552228922290716,5.2185484231465695,8.66369754076004,2.4086809158325195,38.09
14,0.3,14.46302056312561,9.058489793529185e-05,resnet18,0.7292158551739926,94.83,92.5593615450717,99.45217059530766,43.572452689025496,38.10444874274662,6.597035316980884,5.236944423956229,8.69622677564621,2.422436773777008,38.3
15,0.3,14.623581647872925,4.7758103038704446e-05,resnet18,0.5433465361595154,94.89,92.35503711270172,99.44467187895947,43.298326402466614,37.37769080234833,6.640030422279339,5.3116003785796995,7.652832567691803,2.3221227526664734,38.16
16,0.3,15.192984819412231,2.25716147632251e-05,resnet18,0.7332022641338198,94.9,92.43496766462115,99.45656197217501,43.03362634538512,40.78431372549019,6.521880024075117,5.1986898973016835,8.37254673242569,2.3826825618743896,40.98
17,0.3,15.880820035934448,0.0005938604191599426,resnet18,0.5283515793936593,94.87,92.53845058519599,99.46678949260532,44.48929451653715,38.59649122807017,6.438423664771603,5.099482170553934,8.461838960647583,2.393321841955185,38.99
18,0.3,35.722572565078735,0.0005159489892951593,resnet18,0.5263125389814377,94.84,92.19551533549773,99.43839365178518,41.78460470714027,40.310077519379846,6.725069202915988,5.370281474592854,7.926984131336212,2.380872517824173,41.09
19,0.3,33.86672043800354,0.00043765715404167296,resnet18,0.538804915547371,94.8,92.79170723790978,99.47235961292455,45.76594791824278,37.88461538461539,6.418042337471784,5.0419786747770825,8.547630161046982,2.4233315885066986,38.08
20,0.3,28.15675926208496,0.0003609127182191292,resnet18,0.5264690451323987,94.91,92.4166292169254,99.45076634954302,44.29341982926627,38.89980353634578,6.57173483142068,5.253774084165519,8.733268827199936,2.4225957691669464,39.29
1,0.5,40.96318817138672,0.0009862338421771683,resnet18,0.6238547831773759,93.74,91.42637408480121,99.1644375594802,46.379473970247865,38.498402555910545,9.906367205942503,7.9047715867787325,6.3289642333984375,2.620450258255005,38.98
2,0.5,23.3077654838562,0.0009626032521145837,resnet18,0.6860715985298157,94.38,91.27086382828861,99.25546609258141,40.21185630362533,39.8576512455516,8.697123060276716,7.087458567557085,7.44413286447525,2.5167426466941833,40.21
3,0.5,23.331652641296387,0.000926157979935909,resnet18,0.6394974589347839,94.5,92.05328523328522,99.34863407099698,41.91409816423245,39.81818181818182,7.748699847301956,6.207682003834612,7.893373072147369,2.468380331993103,40.36
4,0.5,23.82068920135498,0.0008745694001607159,resnet18,0.6735914311967455,94.69,91.84550875599811,99.3509817760707,41.07107559079271,39.92467043314501,7.630977390313632,6.195534440584848,8.155356347560883,2.4468588829040527,40.49
5,0.5,22.859312534332275,0.0008113368854377952,resnet18,0.6974924777416472,94.69,92.28691344677318,99.38787188722169,43.79312029133038,38.60640301318267,7.277847428183622,5.842404478454839,8.182001113891602,2.4150903522968292,38.79
6,0.5,20.213532209396362,0.0007463441556269284,resnet18,0.8569556516595185,94.68,92.24265710219784,99.40110418175465,43.89246125665958,37.78195488721804,7.157367292870173,5.716462883767588,8.269184827804565,2.4289843440055847,38.16
7,0.5,20.720075130462646,0.0006642647352994897,resnet18,0.6956102893902706,94.76,92.30026479108331,99.41782633391152,44.63793707151334,37.213740458015266,6.958120054580704,5.5606116811380115,8.33294689655304,2.4086415767669678,37.6
8,0.5,21.234700441360474,0.0005884284628062344,resnet18,0.6591855827499838,94.8,92.42820918532945,99.43377567597027,44.00141771568179,38.84615384615385,6.787209415549315,5.411145752854614,8.590897917747498,2.4233734607696533,39.23
9,0.5,22.150821685791016,0.0005072526090855855,resnet18,0.6609454528145168,94.84,92.34614642694837,99.4334698588668,44.96873895245774,39.14728682170542,6.77023965179536,5.415451923472226,8.512820303440094,2.4062080681324005,39.34
10,0.5,20.704074382781982,0.00042903759849770507,resnet18,0.6245783551946863,94.87,92.4716720181983,99.45033496645654,44.44726664622488,39.57115009746588,6.595234363255892,5.256292869038222,8.368352055549622,2.3945827782154083,40.16
11,0.5,21.704525232315063,0.00035258222940492425,resnet18,0.6668642626868354,94.81,92.61809289403267,99.45462934957818,44.56418087002712,38.72832369942196,6.582578166356528,5.211849307258388,8.282975852489471,2.385762184858322,39.11
