epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.3,17.02385950088501,0.0009938503261272714,wrn,0.335648775100708,76.02,86.62445947787324,95.46088888580115,64.17950027032514,63.26105087572977,68.0988272289633,36.72569101796007,10.17075926065445,9.871011972427368,63.51
2,0.3,10.91170358657837,0.0009755527298894293,wrn,0.25179603695869446,75.89,86.59117119186074,95.44710003388542,64.36184810052494,64.24720033181252,68.54630337064766,36.81562913674331,10.275937616825104,9.918155074119568,64.5
3,0.3,10.650520086288452,0.0009455577588320897,wrn,0.2577715814113617,75.63,86.74607785098947,95.43322083465395,64.6779697314794,63.602790315962245,69.25155257155772,36.79911774522961,10.655051469802856,9.958248138427734,63.68
4,0.3,10.737843751907349,0.0009046039886902862,wrn,0.2001510113477707,75.91,86.50071398811346,95.39552947670492,63.547961904868046,64.09298464092986,68.8915796201125,37.21605608710404,10.390353947877884,9.948040246963501,64.59
5,0.3,11.177639245986938,0.0008536998372026805,wrn,0.18627114593982697,76.06,86.43858528783173,95.42218032986443,63.498991859554096,64.8705096073517,68.34155754307685,37.07798560403279,10.314030945301056,9.954370856285095,65.37
6,0.3,10.640363931655884,0.0007940987335200903,wrn,0.27260106801986694,75.79,86.76732579026189,95.44291344884404,65.42501821562306,62.4122263527468,68.75828599936064,36.75106736497268,10.63947081565857,9.97988760471344,62.74
7,0.3,10.644221782684326,0.0007272682546199036,wrn,0.14562244713306427,75.99,86.4342860826018,95.3988486702567,63.82946081652889,64.09829237817576,68.69132071852522,37.23587318805692,10.523385554552078,10.01649022102356,64.43
8,0.3,10.476724863052368,0.0006548539886902863,wrn,0.22048668563365936,75.92,86.61966915690236,95.43647598115463,64.42500037116294,63.45514950166113,68.53445591534556,36.88648797167483,10.444508492946625,10.01554250717163,64.0
9,0.3,11.227566242218018,0.0005786390152875953,wrn,0.18197856843471527,75.87,86.56639754643894,95.39425248958875,64.36296770533012,65.14711976792374,69.00628213023529,37.22040448756775,10.593612492084503,10.0296151638031,65.27
10,0.3,10.949105262756348,0.0005005,wrn,0.24513013660907745,75.92,86.4229214656799,95.37431947502252,64.07059275569247,65.9468438538206,69.05928024059514,37.411312296924415,10.51541417837143,10.043424367904663,66.11
11,0.3,10.676161289215088,0.0004223609847124046,wrn,0.17982609570026398,75.79,86.54452870627381,95.39434864342948,64.26942320733713,63.65138372573317,69.20768934841978,37.200470714031816,10.571776330471039,10.101170539855957,63.86
12,0.3,10.917439460754395,0.0003461460113097138,wrn,0.21203859150409698,76.17,86.33191013034816,95.4147477926424,62.60278306083009,66.00923206042803,68.17332014235937,37.209965613665005,10.482053458690643,10.040361881256104,66.51
13,0.3,11.425499677658081,0.00027373174538009644,wrn,0.17454840242862701,75.91,86.64007742449589,95.43815722800717,64.53729131920709,64.79867164798672,68.54027334640197,36.86474981339352,10.696937143802643,10.017578601837158,64.84
