method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,Error Detection,47.89,85.02,75.04
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,Places365_mean,62.42	+/- 0.79,75.91	+/- 0.29,34.55	+/- 0.80
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,Textures_mean,76.16	+/- 1.09,69.19	+/- 0.50,30.04	+/- 0.58
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,SVHN_mean,63.84	+/- 0.45,69.78	+/- 0.29,25.32	+/- 0.26
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,LSUN_crop_mean,31.84	+/- 1.52,93.29	+/- 0.23,78.31	+/- 0.46
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,LSUN_resize_mean,49.18	+/- 0.54,83.56	+/- 0.30,48.08	+/- 0.70
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,iSUN_mean,49.79	+/- 0.39,83.65	+/- 0.28,48.57	+/- 0.81
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,mean,55.54,79.23,44.15
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,Error Detection,46.31,85.11,74.89
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,Places365_mean,62.02	+/- 0.99,75.52	+/- 0.59,34.03	+/- 0.82
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,Textures_mean,76.77	+/- 0.76,67.41	+/- 0.49,25.56	+/- 0.46
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,SVHN_mean,49.26	+/- 0.65,81.45	+/- 0.31,43.47	+/- 0.71
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,LSUN_crop_mean,37.11	+/- 1.71,90.57	+/- 0.35,70.50	+/- 0.92
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,LSUN_resize_mean,58.28	+/- 0.90,77.90	+/- 0.30,36.91	+/- 0.55
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,iSUN_mean,53.84	+/- 0.70,79.61	+/- 0.32,38.85	+/- 0.51
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,mean,56.21,78.74,41.55
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,Error Detection,45.32,85.16,75.85
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,Places365_mean,63.85	+/- 0.70,74.71	+/- 0.38,32.70	+/- 0.49
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,Textures_mean,76.99	+/- 1.30,67.37	+/- 0.45,26.74	+/- 0.75
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,SVHN_mean,48.13	+/- 0.89,85.59	+/- 0.36,55.28	+/- 0.81
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,LSUN_crop_mean,38.27	+/- 1.38,90.94	+/- 0.32,72.19	+/- 0.83
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,LSUN_resize_mean,56.09	+/- 0.71,79.39	+/- 0.46,39.62	+/- 0.58
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,iSUN_mean,56.84	+/- 0.90,78.65	+/- 0.32,38.23	+/- 0.63
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,mean,56.70,79.44,44.13
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,Error Detection,48.22,84.66,75.38
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,Places365_mean,63.47	+/- 0.88,75.59	+/- 0.24,33.80	+/- 0.44
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,Textures_mean,76.97	+/- 0.73,67.64	+/- 0.29,27.08	+/- 0.35
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,SVHN_mean,28.83	+/- 0.63,93.79	+/- 0.16,79.14	+/- 0.45
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,LSUN_crop_mean,26.21	+/- 0.98,94.80	+/- 0.18,83.09	+/- 0.48
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,LSUN_resize_mean,51.24	+/- 0.52,82.12	+/- 0.25,43.19	+/- 0.54
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,iSUN_mean,50.92	+/- 0.72,82.27	+/- 0.34,43.61	+/- 0.73
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,mean,49.61,82.70,51.65




method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
tiny-imagenet-res18-infobatch-r0.5,tiny-imagenet,mean,56.18,78.55,40.99
tiny-imagenet-res18-infobatch_grad-r0.5,tiny-imagenet,mean,59.00,76.78,39.42
tiny-imagenet-res18-infobatch_grad-r0.8,tiny-imagenet,mean,56.38,79.51,44.57
tiny-imagenet-res18-infobatch-r0.8,tiny-imagenet,mean,54.29,79.40,44.12
tiny-imagenet-res18-baseline,tiny-imagenet,mean,57.86,76.56,40.77
tiny-imagenet-res18-infobatch_grad-r0.5-best,tiny-imagenet,mean,55.54,79.23,44.15
tiny-imagenet-res18-infobatch-r0.5-best,tiny-imagenet,mean,56.21,78.74,41.55
tiny-imagenet-res18-infobatch_grad-r0.8-best,tiny-imagenet,mean,56.70,79.44,44.13
tiny-imagenet-res18-infobatch-r0.8-best,tiny-imagenet,mean,49.61,82.70,51.65

