epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,41.23853659629822,3.0533335208892822,wrn,4.538789826996473,2.088,4.610366882324219,1.03,74.81216726457266,3.1496817956146392,99.53579314700104,75.89168434879257,979.2412212949911,36.67001854758034,0.2981191501021385,46.103668212890625,0.0
2,0.5,6.342888355255127,1.0884664058685303,wrn,4.480873589613,3.2039999999999997,4.611209777832031,1.39,70.31219563442644,9.007854397508659,99.25974589122644,89.32156982050502,969.4656088330693,42.8001523330217,0.36254217848181725,46.112098693847656,89.87
3,0.5,6.279646396636963,1.1383044719696045,wrn,4.370322045014829,4.436,4.483967443847656,2.53,68.80373853756969,6.673293349916507,98.6273168936376,86.7856776444034,953.5223302101814,71.84918755637248,0.8106285706162453,44.83967304229736,0.0
4,0.5,6.156777620315552,1.108771800994873,wrn,4.1639328197557095,6.532,4.317328112792969,4.3999999999999995,71.05244389501712,14.245240796319331,97.85822646516938,83.32635983263599,915.5841833861356,97.02107176894626,3.608173504471779,43.173279762268066,83.56
5,0.5,6.339823484420776,1.086768627166748,wrn,4.00583219284914,8.200000000000001,4.2973286743164065,5.62,71.80708863012325,20.263246385558183,97.19996120205718,82.00890019071836,886.4455970788621,104.43632201989817,3.4911584109067917,42.97327995300293,82.02
6,0.5,6.194636583328247,1.1057608127593994,wrn,3.891677566937038,9.704,4.2011704345703125,6.329999999999999,69.8208948729456,18.731761277564917,96.5390493439902,86.43108786164193,879.9826737758756,117.98244160024163,7.523809373378754,42.011704444885254,0.0
7,0.5,6.2662224769592285,1.0299875736236572,wrn,3.79811444696115,11.336,4.130953918457031,7.66,69.84455788602796,21.980806903459467,95.98474009877968,83.9506172839506,858.2338119079931,131.63133019923933,7.232844829559326,41.30953788757324,84.95
8,0.5,6.675019264221191,1.0786552429199219,wrn,3.6907178893381234,13.632,4.44249365234375,7.340000000000001,67.41669612206238,19.947973919389682,95.67842457121523,86.9199222965681,869.7402422229129,134.84866282565932,13.950183987617493,44.42493438720703,87.27
9,0.5,6.557973623275757,1.1163179874420166,wrn,3.5815011177744185,15.916,4.095817492675781,8.27,69.17441189253304,22.173326125463735,95.51208182935147,85.83887495911915,850.3182022906495,139.15090277462062,11.476875841617584,40.95817565917969,85.9
10,0.5,7.101824998855591,1.1174674034118652,wrn,3.457271843540425,18.512,3.8198255249023436,13.15,74.07596244563088,37.686193071847725,93.88589242957796,84.9280368451353,748.9029655588349,147.1833837572426,12.178906053304672,38.198254108428955,85.1
11,0.5,8.148475408554077,1.0925202369689941,wrn,3.3415392564267528,20.748,3.5106703125,16.16,76.12768574984885,45.88155924582983,93.0730587315368,80.98759541984732,688.2807029445034,144.41789402035843,6.5497905015945435,35.10669946670532,81.19
12,0.5,6.820494890213013,1.0784289836883545,wrn,3.2108197759608834,23.064,3.4278933166503904,17.04,74.53881416916802,46.4327871740858,92.00197357202559,81.9069431051109,679.394914225246,151.33588987085744,7.6386310160160065,34.27893400192261,82.36
