epoch,rate,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.3,34.466591358184814,0.0009938503261272714,resnet18,0.03962010517716408,78.77,87.3635484002717,96.12182921934154,63.2853052022057,59.49128591615638,56.414282758196705,32.08941351752722,4.471461474895477,8.777685761451721,60.48
2,0.3,20.72662091255188,0.0009755527298894293,resnet18,0.014503729529678822,78.71,87.37474980395179,96.09521339897611,63.97441775884527,59.27665570690465,56.734385876795635,32.26610528132651,4.443863034248352,8.780104517936707,59.51
3,0.3,21.201165199279785,0.0009455577588320897,resnet18,0.04262152314186096,78.73,87.26779275918224,96.05608920497316,63.55998802943424,59.52045133991537,57.02285231973894,32.6024263114566,4.596642404794693,8.802465796470642,59.8
4,0.3,20.91534972190857,0.0009046039886902862,resnet18,0.013190967962145805,78.85,87.18250381143837,96.04353332259802,63.32417034576905,58.20330969267139,56.8763306836115,32.74196571218768,4.649987816810608,8.79970908164978,58.3
5,0.3,21.160470008850098,0.0008536998372026805,resnet18,0.02609468623995781,78.76,87.36744277353594,96.08121601073492,64.06929524451327,59.03954802259888,56.73443757345796,32.38569818769839,4.479123651981354,8.79113256931305,59.32
6,0.3,21.169885396957397,0.0007940987335200903,resnet18,0.027529777958989143,78.82,87.25859700171486,96.07787097572694,63.308127339224185,60.05665722379604,56.66187345060378,32.456164539780204,4.661424458026886,8.775706887245178,60.29
7,0.3,21.213069200515747,0.0007272682546199036,resnet18,0.010926621034741402,78.81,87.2481076015164,96.0679471334621,63.5237273909772,59.69797074091553,56.763123870078196,32.533608273996585,4.689090698957443,8.813745379447937,59.84
8,0.3,21.084661722183228,0.0006548539886902863,resnet18,0.017936188727617264,78.63,87.29159290853052,96.04524033943581,63.49817591440372,59.663079082826386,57.322760465514904,32.66255319745834,4.526045545935631,8.838595747947693,59.8
9,0.3,21.27494168281555,0.0005786390152875953,resnet18,0.01855151355266571,78.88,87.20677313833058,96.05748376140727,63.012794857805844,58.7594696969697,56.703451239021156,32.640316066220734,4.561348259449005,8.790422677993774,58.95
10,0.3,21.121020078659058,0.0005005,resnet18,0.02314295433461666,78.76,87.2008929126508,96.04699741614289,62.831687089617425,61.06403013182674,57.04784250501144,32.699103119251866,4.783093184232712,8.813995122909546,61.39
11,0.3,21.031673669815063,0.0004223609847124046,resnet18,0.05059918761253357,78.68,87.3009189621246,96.06026489466817,63.8998468024344,58.81801125703565,57.089172634545974,32.54901486776497,4.498451203107834,8.829441666603088,59.01
12,0.3,21.254255056381226,0.0003461460113097138,resnet18,0.02183431200683117,78.82,87.25269371003222,96.07468337130109,63.61642167492517,59.773371104815865,56.68399185015259,32.47828293932901,4.764507710933685,8.791242241859436,59.87
13,0.3,21.2111394405365,0.00027373174538009644,resnet18,0.011538430117070675,78.79,87.28385285720928,96.06938733394375,63.58082817452606,58.6044318717586,56.78802394556113,32.510856911117834,4.622545093297958,8.804962635040283,59.26
14,0.3,21.18404746055603,0.00020690126647990973,resnet18,0.015485875308513641,78.75,87.46537292250234,96.10546314920616,64.44114765323022,57.74117647058824,56.548376378483205,32.17575415083302,4.4437021017074585,8.787007927894592,58.31
