epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.8,43.58659887313843,4.933967590332031,res50,4.449628393363465,5.335999999999999,3.876613391113281,10.22,72.02004770085956,24.91898631597157,95.15586094515467,81.8556471374471,816.1027469164316,151.4029189603524,1.554606668651104,38.7661337852478,82.06,0
2,0.8,42.50688695907593,5.1023850440979,res50,4.146341655565345,10.262,3.5944764282226562,15.989999999999998,70.4465034724789,31.95579367420418,91.54642352670011,84.37090822521128,737.7112428049716,190.74098760181403,5.105012655258179,35.944764614105225,84.8,0
3,0.8,22.427345991134644,5.457864999771118,res50,8.588621164491663,12.684426229508198,3.7631316162109374,13.36,73.89876151436738,31.568547983566987,93.74367802480613,81.90212373037858,759.9062521237062,162.43036251241983,3.0571429058909416,37.63131618499756,81.93,25600
4,0.8,22.617444038391113,5.39477801322937,res50,8.851452702381572,13.127893022458426,3.672904608154297,14.39,70.09817701182027,27.77615353129747,92.52570735187527,82.63053381614297,767.5681738807818,190.43798998706228,3.4773755818605423,36.729042530059814,0.0,52268
5,0.8,21.318761110305786,5.2255330085754395,res50,8.886494372810066,13.551381408993388,3.5709884338378908,16.7,72.09193377949983,37.290510303143215,91.60461925921237,83.26530612244898,711.2042387137565,177.09440363017538,4.559673368930817,35.70988178253174,83.64,79429
6,0.8,21.253780841827393,5.3061137199401855,res50,8.835788594800874,15.276980798940631,3.5363233581542968,17.37,71.23243142763961,36.380057664017485,90.98463553241811,83.62580176691274,709.0447214373359,186.79364915351883,6.064086407423019,35.36323070526123,83.84,106774
7,0.8,22.216460704803467,5.1309263706207275,res50,8.735127432962482,15.42590637099613,3.474950897216797,17.49,71.6900680264755,39.52703892625623,90.91195064777654,84.57156708277785,697.1952702948907,177.04057317277167,3.1138841062784195,34.749507904052734,84.63,134046
8,0.8,21.10510778427124,5.008028507232666,res50,8.571391156265856,16.477073853692684,3.404394226074219,20.84,71.88455631539999,41.92396154602985,89.2011485660083,83.64072764022234,656.9331887399786,192.16606870102825,6.4117878675460815,34.043946266174316,83.65,161190
9,0.8,21.236608743667603,5.056449890136719,res50,8.49155095702443,17.4955246037637,3.3945404724121095,20.169999999999998,72.20954344541397,42.95400505287845,89.72570546698408,83.0890642615558,659.2596410035659,183.87606332579747,5.567208305001259,33.94540309906006,83.36,188287
10,0.8,22.794636011123657,5.186028480529785,res50,8.513570471182883,17.707558317650662,3.3651519897460935,22.770000000000003,71.8260554528844,42.97927603718284,88.11855741049321,81.60041434675645,637.9775354990683,202.61121535533155,8.367062360048294,33.65152359008789,81.87,215438
11,0.8,23.555389404296875,5.358715057373047,res50,8.374342705284416,18.831197235466515,3.2082026306152343,23.18,73.6424148738948,49.67553559407955,88.5730894097783,81.03358500390523,606.26134329247,176.92520797659932,6.218919903039932,32.08202838897705,81.31,242577
12,0.8,20.975640535354614,5.345624208450317,res50,8.238864933312271,20.16160733784669,3.2030630615234377,23.03,73.94896060862709,51.489544038513756,89.05135190238744,79.48551383655969,601.9472921523134,170.41347248972437,4.352022334933281,32.030630111694336,79.56,269682
13,0.8,21.3333637714386,5.273400545120239,res50,8.144627698262532,20.901442831611526,3.118282989501953,23.82,73.69687529138531,50.283410840156215,88.23112017190596,80.96613284326595,598.1597102753032,178.09205925021837,6.576657295227051,31.182830333709717,81.11,296741
14,0.8,21.001981019973755,5.160105228424072,res50,8.071035485797458,21.70505507902643,3.1227040466308593,24.65,72.44685315720686,48.77230174204868,87.06468853164611,83.92833443928335,597.569371904414,189.26631678001417,6.500931829214096,31.22704029083252,84.03,323774
15,0.8,22.503732919692993,5.224120855331421,res50,8.04674173067402,22.506226241971426,3.115286163330078,25.05,73.22382320082983,49.96727897289273,87.65319128582419,80.0266844563042,589.2296152448013,186.4958530383341,3.2795779407024384,31.15286111831665,80.13,350887
16,0.8,21.63300061225891,5.3939783573150635,res50,7.937861575760655,23.924155707982,3.0785587890625,26.76,73.92765323416104,52.71558538753413,86.97954685853878,80.36592026215182,563.6502663499916,184.01716436482135,6.072951853275299,30.785586833953857,80.67,377998
17,0.8,21.205263137817383,5.290154218673706,res50,7.856608478716632,24.948570928349454,2.999127911376953,29.68,72.81500635140398,54.28208113251297,84.2940750370224,83.06313993174061,535.8137586729281,193.13575932299705,10.266653448343277,29.991278648376465,83.39,405151
