epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.5,42.32509207725525,2.7902395725250244,res18,4.626880207330065,5.908,5.118061129760743,5.140000000000001,65.84628914533889,14.575693468854462,96.74381275067883,90.63883617963315,908.4822301705218,112.44344944570206,10.849907994270325,51.18061542510986,0.0,0
2,0.5,41.14210033416748,2.640303611755371,res18,3.768144222171715,16.436999999999998,3.6011954551696777,18.77,72.72175058082408,43.64786585902002,90.36347544809709,84.61159670072634,670.5787220057692,172.28399195841104,2.4781933054327965,36.011953353881836,84.61,0
3,0.5,43.01023459434509,2.438229560852051,res18,3.2442304676451035,25.226,3.2648759769439697,24.82,74.76223059821618,54.57787802406315,88.17931217703207,81.0853950518755,572.4745887168382,166.54635353856477,2.4807343259453773,32.64875888824463,81.26,0
4,0.5,42.83284640312195,2.6627581119537354,res18,2.8738246500644538,32.239000000000004,2.974187802886963,30.61,77.66323125981536,65.43736022391445,86.78395382546866,78.12364894076957,476.6246052137522,145.09908006447102,3.6425109952688217,29.741878509521484,78.4,0
5,0.5,41.96318769454956,2.6274025440216064,res18,2.5910097080118515,37.742,2.8650241897583006,33.160000000000004,78.325420553124,69.1199401491497,85.86039190602969,75.29922202274088,439.7751088667404,137.40376262382316,5.527745187282562,28.650243282318115,75.54,0
6,0.5,41.7829155921936,2.6760754585266113,res18,2.3581033986242836,42.567,2.5542194580078124,38.95,78.70969837850454,73.96977418502892,82.83563026282461,77.37919737919738,373.32083039701666,130.07703602200127,4.417528584599495,25.542192459106445,77.71,0
7,0.5,42.7508659362793,2.475066661834717,res18,2.1658091289003183,46.463,2.502064936828613,40.21,79.11175810187683,75.25071592781347,82.88818980547035,74.12610804482355,357.94122190379153,126.37622231202073,6.5995678305625916,25.020649433135986,74.16,0
8,0.5,42.8659942150116,2.789612293243408,res18,2.0054451948236625,50.053000000000004,2.314502134513855,44.79,81.12895296486947,80.18013336066613,81.87979866931809,71.92537583771056,300.86377300880923,108.5104625046917,5.5518899112939835,23.145020008087158,72.05,0
9,0.5,41.8827908039093,2.6295597553253174,res18,1.8767786175393693,52.881,2.261731575012207,45.94,80.49540160073032,80.20162023194548,80.24043082649864,74.1953385127636,294.0573893738843,110.79432379513204,6.890012323856354,22.617318630218506,74.57,0
10,0.5,41.751264572143555,2.6695404052734375,res18,1.7555714315160766,55.493,2.2556602115631104,47.31,81.240483705657,81.8484616086099,80.13745992036505,70.67754792180679,276.49503961124424,103.68602323208009,9.003869444131851,22.556602954864502,70.92,0
