epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.5,109.42677807807922,4.827045440673828,res18,5.061622955000309,2.9770000000000003,4.771045063018799,4.89,68.88580631747246,11.851839487477609,97.41737541286999,84.24981600252339,913.9545337137563,110.43365216807044,1.3164038769900799,47.71045207977295,0.0,0
2,0.5,110.41332459449768,4.858144760131836,res18,4.810049733847303,5.868,4.64459693145752,6.69,65.04709136925487,16.03529253344876,95.80986204786161,88.48997963776658,888.8046487626394,136.63946602526744,3.073948808014393,46.44597053527832,0.0,0
3,0.5,112.31745052337646,5.71331787109375,res18,4.638554145003218,8.549,4.127604597091675,12.33,70.53022971659463,32.51742701845141,93.3886526831718,86.004334435953,775.9661228112095,157.34965213570905,2.673009969294071,41.276044845581055,86.06,0
4,0.5,117.82443499565125,5.3529698848724365,res18,4.483910250236921,11.288,3.9401983127593994,15.55,71.22420656451143,36.53102831108883,92.16071707061646,82.13143872113676,727.8907069571205,172.79324157204346,3.764752671122551,39.40197944641113,82.24,0
5,0.5,116.25010108947754,5.009948492050171,res18,4.334698672489742,13.897,3.7385918224334715,18.21,73.78288069679793,44.84525018403076,91.28696929911268,82.94412519867954,671.8007426101206,164.05333372858598,3.2764099538326263,37.38591909408569,83.03,0
6,0.5,116.38176465034485,6.299031496047974,res18,4.21094904592275,16.469,3.658921732711792,19.67,73.47108973653481,45.14267354647923,90.58737195774495,80.667247603635,655.7759120462568,172.32497343684406,3.0004002153873444,36.58921957015991,80.73,0
7,0.5,107.71997117996216,7.167173624038696,res18,4.099592856433995,18.525,3.3622180305480955,25.03,74.70430174999817,54.50895771576525,88.23285312417033,79.36507936507937,571.0106169013892,167.9999155616546,4.885514825582504,33.62217903137207,79.37,0
8,0.5,105.05604434013367,5.979586839675903,res18,4.007019196020063,20.476,3.425029636383057,23.669999999999998,74.75991031537565,54.66807567514379,88.6084280606959,82.5625573169134,583.9117949481677,161.68744412297013,1.9649319350719452,34.25029754638672,82.58,0
9,0.5,120.15322732925415,6.332249641418457,res18,3.9313188660175293,21.869,3.389898569107056,24.75,75.35752206449881,56.26596015616321,88.63431726997418,79.77408637873754,566.9418037698724,160.03711627078704,2.3850910365581512,33.89898061752319,80.29,0
10,0.5,121.5312557220459,6.095213413238525,res18,3.8600783561501664,23.366999999999997,3.0765472034454344,30.819999999999997,75.96130738141564,63.527311570961785,85.40368732957693,80.58687481931194,484.8964633451515,155.84982229397622,5.24543970823288,30.76547384262085,80.85,0
11,0.5,103.20232677459717,4.320950269699097,res18,3.80988000908776,24.601,3.3261225414276123,26.46,74.54512083139846,56.746078533865685,87.26736844895755,80.62279031819418,550.5435217952491,166.93875461916818,2.8512658551335335,33.26122760772705,80.79,0
12,0.5,86.25540113449097,3.247415065765381,res18,3.7448113342685163,25.829,3.5488488204956057,23.419999999999998,73.40512168472927,51.498089636867604,88.2425681522908,81.53564899451554,599.0560209428799,173.21601661797726,3.0006244778633118,35.48848867416382,81.9,0
