epoch,rate/ratio,train_time,learning_rate,model,loss,train-acc,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,27.737791299819946,0.004260385505646336,res18,3.5345966815948486,0.07892,9.59,65.96050272198751,20.824990377532043,93.91961063282723,89.75777015816834,842.794076210005,163.52676380119925,8.344008028507233,39.744651317596436,90.24
1,0.5,20.555585622787476,0.004260385505646336,res18,3.704559803009033,0.0774,8.86,65.66251236531895,20.08323764655616,94.39944727235712,88.98398068904982,853.2552535070997,156.58828864057938,9.77538451552391,40.11734962463379,89.07
2,0.5,19.952632665634155,0.00458520485276763,res18,3.5295214653015137,0.13016,13.49,64.76615351631965,21.731001658508006,91.49118072260163,87.55057218818634,805.2911322322582,210.42571470941905,7.960332930088043,36.87927722930908,87.74
3,0.5,22.286935806274414,0.005038716997104009,res18,3.157278537750244,0.17132,18.82,67.154771320682,32.5992497660897,88.55936300401956,86.11727026361173,715.9667474012948,218.5078071558623,7.766749709844589,33.175785541534424,86.12
4,0.5,20.947818517684937,0.005619691020199616,res18,3.0809459686279297,0.21024,20.72,69.49913482929377,38.5826515866304,88.43332633969231,84.38446014127145,673.7132632274597,207.0607264807186,11.575458943843842,31.967406272888184,84.56
5,0.5,15.116240739822388,0.006326550047749568,res18,3.4121487140655518,0.24728,24.15,68.5316393503032,43.007849371305,85.84018432470893,85.74818721160185,631.4751253136925,216.11904743600917,7.6648615300655365,29.569549560546875,85.96
6,0.5,15.58458924293518,0.007157375529537366,res18,2.372809410095215,0.2714,25.79,69.61618305554713,45.97650355508745,85.67256419088103,84.47648564883438,604.682007573891,212.08379768974973,13.15537542104721,29.341418743133545,84.57
7,0.5,22.629437923431396,0.008109912446746304,res18,2.724208354949951,0.2996,28.97,71.87949628794048,53.33196746514396,84.67233341098496,81.30367450373082,546.1265472183237,194.73859292604288,8.82338210940361,27.26956605911255,81.37
8,0.5,19.137951135635376,0.009181575432510511,res18,2.817321300506592,0.32824,30.95,70.21802935991457,54.142844123452136,81.97186881898729,84.80811006517015,530.4703635814429,202.95109291383494,11.415964365005493,26.25577688217163,85.31
9,0.5,17.31615447998047,0.010369455789093693,res18,2.3853065967559814,0.34576,31.33,71.27512705380154,55.56790139476602,82.46762644326961,83.28236493374108,519.8538960713179,196.7680216561342,16.576391458511353,27.260398864746094,83.3
10,0.5,14.53022313117981,0.011670329382649669,res18,2.1801323890686035,0.3706,35.78,73.24059762425802,62.8624003066425,81.1870753046086,81.32980379943943,452.96065811798053,178.5007385272906,12.038645893335342,24.11926031112671,81.53
11,0.5,17.12848711013794,0.013080665394136423,res18,2.340879440307617,0.389,36.83,72.09725374181552,61.77966407450206,79.6322952492931,82.5075193921165,452.08064607777203,188.2598469498825,11.525284498929977,24.570765495300293,82.65
12,0.5,22.61374258995056,0.014596635902632493,res18,2.339036703109741,0.40936,38.68,72.50509684898454,62.83649150336827,78.63622262606583,81.55577299412916,434.2470155412875,188.44803449916714,10.351912677288055,23.26711416244507,81.62
13,0.5,18.61212706565857,0.0162141262750444,res18,2.4222564697265625,0.42984,39.69,74.53285053343481,68.55239505442363,79.11923206099743,81.87696899353341,398.33426263007135,161.9980104578196,11.138302832841873,22.703230381011963,81.91
14,0.5,14.622389554977417,0.01792874633400561,res18,2.1637258529663086,0.44732,39.42,73.05205564876916,65.94293547593891,77.74667854086856,82.83261802575107,414.0789041102673,175.23845588694576,11.881953477859497,22.677412033081055,82.85
15,0.5,14.918449401855469,0.019735842273655227,res18,1.6711899042129517,0.4646,34.5,72.2858258656931,59.50928844094585,81.19601720296097,82.58015267175573,477.76306795083246,189.91581532385055,18.06076020002365,26.05419158935547,82.73
16,0.5,19.427034616470337,0.021630509290954725,res18,2.321044683456421,0.4848,41.13,73.55311441087726,67.2806521221403,77.76756748351602,80.92406998471208,396.0961173339184,172.80836499454892,15.20836353302002,23.469407558441162,81.03
