method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar100_resnet18_EL2N_rate_0.3,cifar100,Error Detection,44.21199442119944,87.19800223591261,63.09067137577053
cifar100_resnet18_EL2N_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,30.39	+/- 0.38,84.03	+/- 0.16,35.49	+/- 0.24
cifar100_resnet18_EL2N_rate_0.3,cifar100,Rademacher Noise_mean,39.97	+/- 0.48,72.42	+/- 0.12,23.77	+/- 0.08
cifar100_resnet18_EL2N_rate_0.3,cifar100,Blob_mean,35.25	+/- 0.79,86.34	+/- 0.16,44.28	+/- 0.50
cifar100_resnet18_EL2N_rate_0.3,cifar100,Textures_mean,60.11	+/- 0.96,78.85	+/- 0.23,37.69	+/- 0.32
cifar100_resnet18_EL2N_rate_0.3,cifar100,SVHN_mean,54.37	+/- 0.87,79.78	+/- 0.29,37.18	+/- 0.37
cifar100_resnet18_EL2N_rate_0.3,cifar100,Places365_mean,54.79	+/- 1.15,79.64	+/- 0.40,37.15	+/- 0.62
cifar100_resnet18_EL2N_rate_0.3,cifar100,LSUN_crop_mean,53.47	+/- 0.59,79.58	+/- 0.24,36.30	+/- 0.57
cifar100_resnet18_EL2N_rate_0.3,cifar100,LSUN_resize_mean,39.13	+/- 0.60,87.11	+/- 0.19,52.85	+/- 0.66
cifar100_resnet18_EL2N_rate_0.3,cifar100,CIFAR-100_mean,57.22	+/- 1.68,79.91	+/- 0.39,39.47	+/- 0.64
cifar100_resnet18_EL2N_rate_0.3,cifar100,mean,47.18899999999999,80.85196880555556,38.24187459353067
cifar100_resnet18_loss_rate_0.3,cifar100,Error Detection,44.44444444444444,87.16132212885152,63.202362713508144
cifar100_resnet18_loss_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,35.33	+/- 0.42,80.09	+/- 0.13,30.49	+/- 0.16
cifar100_resnet18_loss_rate_0.3,cifar100,Rademacher Noise_mean,41.34	+/- 0.22,71.01	+/- 0.16,22.93	+/- 0.09
cifar100_resnet18_loss_rate_0.3,cifar100,Blob_mean,38.86	+/- 1.04,84.09	+/- 0.30,39.52	+/- 0.59
cifar100_resnet18_loss_rate_0.3,cifar100,Textures_mean,58.76	+/- 1.05,79.35	+/- 0.26,38.94	+/- 0.40
