method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,Error Detection,47.55109911299653,86.88379264206574,64.96099609178273
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,30.78	+/- 0.63,82.55	+/- 0.23,33.13	+/- 0.29
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,Rademacher Noise_mean,30.68	+/- 0.44,81.13	+/- 0.10,31.14	+/- 0.11
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,Blob_mean,38.89	+/- 0.94,84.30	+/- 0.31,40.64	+/- 0.48
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,Textures_mean,61.05	+/- 0.58,77.48	+/- 0.28,34.59	+/- 0.57
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,SVHN_mean,62.81	+/- 0.82,76.92	+/- 0.25,33.64	+/- 0.29
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,Places365_mean,62.52	+/- 1.98,76.89	+/- 0.42,33.68	+/- 0.55
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,LSUN_crop_mean,56.39	+/- 1.35,80.25	+/- 0.32,39.92	+/- 0.66
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,LSUN_resize_mean,35.21	+/- 1.12,87.93	+/- 0.37,52.43	+/- 0.88
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,CIFAR-100_mean,57.14	+/- 1.62,79.91	+/- 0.28,38.83	+/- 0.55
cifar100_resnet18_infobatch_10_rate_0.3,cifar100,mean,48.386222222222216,80.81961452777777,37.55697750308716
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,Error Detection,47.0542934154794,86.88518498698367,64.44033391366068
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,Gaussian Noise (sigma = 0.5)_mean,34.05	+/- 0.48,80.34	+/- 0.17,30.53	+/- 0.19
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,Rademacher Noise_mean,37.47	+/- 0.39,75.50	+/- 0.14,25.94	+/- 0.12
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,Blob_mean,38.32	+/- 0.76,84.50	+/- 0.24,41.23	+/- 0.53
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,Textures_mean,61.81	+/- 1.31,76.99	+/- 0.26,33.82	+/- 0.48
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,SVHN_mean,57.07	+/- 1.27,78.78	+/- 0.25,35.29	+/- 0.50
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,Places365_mean,57.33	+/- 1.26,78.84	+/- 0.38,35.38	+/- 0.65
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,LSUN_crop_mean,53.08	+/- 1.42,81.79	+/- 0.28,41.68	+/- 0.54
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,LSUN_resize_mean,38.19	+/- 0.99,86.62	+/- 0.21,49.01	+/- 0.67
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,CIFAR-100_mean,57.57	+/- 1.88,79.59	+/- 0.34,38.42	+/- 0.59
cifar100_resnet18_infobatch_20_rate_0.3,cifar100,mean,48.32077777777777,80.32569025,36.8107116789354
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,Error Detection,48.61467419189328,86.70557880675929,63.793951957624294
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,32.46	+/- 0.56,81.42	+/- 0.20,31.80	+/- 0.23
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,Rademacher Noise_mean,31.62	+/- 0.49,80.82	+/- 0.13,30.85	+/- 0.12
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,Blob_mean,39.89	+/- 0.45,83.40	+/- 0.27,39.03	+/- 0.51
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,Textures_mean,60.18	+/- 0.90,77.45	+/- 0.29,34.41	+/- 0.40
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,SVHN_mean,57.25	+/- 1.29,78.54	+/- 0.48,34.41	+/- 0.66
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,Places365_mean,56.54	+/- 1.36,78.86	+/- 0.39,34.76	+/- 0.43
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,LSUN_crop_mean,50.93	+/- 1.48,82.62	+/- 0.24,43.67	+/- 0.44
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,LSUN_resize_mean,39.16	+/- 0.59,86.09	+/- 0.24,47.93	+/- 0.95
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,CIFAR-100_mean,58.77	+/- 0.94,79.44	+/- 0.27,38.46	+/- 0.63
cifar100_resnet18_infobatch_10_rate_0.5,cifar100,mean,47.42177777777778,80.95960163888888,37.25507806065876
cifar100_resnet18_infobatch_20_rate_0.5,cifar100,Error Detection,46.84811914238028,86.72679913264128,63.915575346195354
cifar100_resnet18_infobatch_20_rate_0.5,cifar100,Gaussian Noise (sigma = 0.5)_mean,30.71	+/- 0.33,83.19	+/- 0.17,34.25	+/- 0.27
