method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,SVHN_mean,12.72	+/- 0.36,95.47	+/- 0.14,77.23	+/- 0.42
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,Places365_mean,12.36	+/- 0.60,95.55	+/- 0.19,77.54	+/- 0.45
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,LSUN_crop_mean,10.46	+/- 0.34,97.16	+/- 0.09,86.20	+/- 0.28
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,LSUN_resize_mean,16.25	+/- 0.54,95.25	+/- 0.18,80.16	+/- 0.25
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,CIFAR-100_mean,60.33	+/- 2.52,87.64	+/- 0.24,61.87	+/- 0.55
cifar10_resnet18_infobatch_20_rate_0.5,cifar10,mean,23.130222222222223,92.91959150000001,70.45817595660245
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Error Detection,28.009698503057134,92.61793542152226,45.40366028631959
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Gaussian Noise (sigma = 0.5)_mean,17.90	+/- 0.49,93.00	+/- 0.14,62.33	+/- 0.43
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Rademacher Noise_mean,43.27	+/- 1.48,81.55	+/- 0.25,33.39	+/- 0.25
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Blob_mean,18.56	+/- 1.11,93.94	+/- 0.27,72.40	+/- 0.57
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Textures_mean,27.87	+/- 1.50,92.45	+/- 0.22,73.27	+/- 0.43
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,SVHN_mean,13.32	+/- 0.43,95.56	+/- 0.14,78.55	+/- 0.36
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,Places365_mean,13.07	+/- 0.96,95.59	+/- 0.24,78.54	+/- 0.35
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,LSUN_crop_mean,9.83	+/- 0.40,97.41	+/- 0.10,86.99	+/- 0.26
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,LSUN_resize_mean,16.72	+/- 0.86,95.05	+/- 0.14,79.02	+/- 0.33
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,CIFAR-100_mean,58.42	+/- 3.99,87.57	+/- 0.41,61.50	+/- 0.69
cifar10_resnet18_infobatch_10_rate_0.7,cifar10,mean,24.32933333333333,92.45626547222223,69.55349424149225
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,Error Detection,28.112492100273855,92.54608277664028,44.724000139949304
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,Gaussian Noise (sigma = 0.5)_mean,15.14	+/- 0.62,94.33	+/- 0.19,67.15	+/- 0.54
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,Rademacher Noise_mean,33.42	+/- 0.92,84.55	+/- 0.15,37.15	+/- 0.16
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,Blob_mean,16.87	+/- 0.56,94.36	+/- 0.10,74.00	+/- 0.39
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,Textures_mean,28.33	+/- 1.66,92.41	+/- 0.26,73.24	+/- 0.49
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,SVHN_mean,12.34	+/- 0.44,95.69	+/- 0.18,78.13	+/- 0.46
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,Places365_mean,12.46	+/- 0.76,95.61	+/- 0.28,77.88	+/- 0.49
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,LSUN_crop_mean,10.18	+/- 0.34,97.23	+/- 0.08,86.35	+/- 0.27
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,LSUN_resize_mean,16.17	+/- 0.62,95.22	+/- 0.17,80.04	+/- 0.47
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,CIFAR-100_mean,59.75	+/- 2.97,87.73	+/- 0.24,61.94	+/- 0.49
cifar10_resnet18_infobatch_20_rate_0.7,cifar10,mean,22.741222222222223,93.01417641666667,70.65443525575292
