method_name,in_data,ood_dataset,FPR95,AUROC,AUPR
cifar10_resnet18_loss_rate_0.5,cifar10,Places365_mean,15.01	+/- 0.66,95.04	+/- 0.15,75.19	+/- 0.47
cifar10_resnet18_loss_rate_0.5,cifar10,LSUN_crop_mean,15.80	+/- 0.22,94.57	+/- 0.14,73.77	+/- 0.67
cifar10_resnet18_loss_rate_0.5,cifar10,LSUN_resize_mean,20.93	+/- 0.62,93.27	+/- 0.17,70.34	+/- 0.69
cifar10_resnet18_loss_rate_0.5,cifar10,CIFAR-100_mean,41.20	+/- 2.37,88.21	+/- 0.34,57.07	+/- 0.64
cifar10_resnet18_loss_rate_0.5,cifar10,mean,27.388111111111108,89.60840536111111,60.65424758188526
cifar10_resnet18_EL2N_rate_0.7,cifar10,Error Detection,24.425711275026345,93.48667327837352,41.075340414323904
cifar10_resnet18_EL2N_rate_0.7,cifar10,Gaussian Noise (sigma = 0.5)_mean,47.32	+/- 1.04,79.58	+/- 0.28,31.95	+/- 0.28
cifar10_resnet18_EL2N_rate_0.7,cifar10,Rademacher Noise_mean,55.11	+/- 0.68,69.37	+/- 0.24,22.33	+/- 0.13
cifar10_resnet18_EL2N_rate_0.7,cifar10,Blob_mean,21.71	+/- 0.58,92.91	+/- 0.14,68.12	+/- 0.56
cifar10_resnet18_EL2N_rate_0.7,cifar10,Textures_mean,29.18	+/- 1.18,90.84	+/- 0.10,61.51	+/- 0.37
cifar10_resnet18_EL2N_rate_0.7,cifar10,SVHN_mean,16.81	+/- 0.70,94.66	+/- 0.14,73.64	+/- 0.62
cifar10_resnet18_EL2N_rate_0.7,cifar10,Places365_mean,16.67	+/- 0.62,94.65	+/- 0.13,73.38	+/- 0.57
cifar10_resnet18_EL2N_rate_0.7,cifar10,LSUN_crop_mean,16.68	+/- 0.18,94.14	+/- 0.09,71.73	+/- 0.55
cifar10_resnet18_EL2N_rate_0.7,cifar10,LSUN_resize_mean,21.21	+/- 0.65,93.38	+/- 0.15,70.22	+/- 0.44
cifar10_resnet18_EL2N_rate_0.7,cifar10,CIFAR-100_mean,38.60	+/- 0.84,88.14	+/- 0.24,55.50	+/- 0.46
cifar10_resnet18_EL2N_rate_0.7,cifar10,mean,29.25466666666667,88.62933533333333,58.70935029757439
cifar10_resnet18_loss_rate_0.7,cifar10,Error Detection,20.267847727512393,94.17608951455634,45.671636653121
cifar10_resnet18_loss_rate_0.7,cifar10,Gaussian Noise (sigma = 0.5)_mean,36.24	+/- 0.89,84.13	+/- 0.19,38.11	+/- 0.46
cifar10_resnet18_loss_rate_0.7,cifar10,Rademacher Noise_mean,49.67	+/- 0.80,73.41	+/- 0.22,24.86	+/- 0.15
cifar10_resnet18_loss_rate_0.7,cifar10,Blob_mean,22.01	+/- 0.48,92.96	+/- 0.11,68.50	+/- 0.38
cifar10_resnet18_loss_rate_0.7,cifar10,Textures_mean,25.79	+/- 0.86,91.62	+/- 0.16,64.35	+/- 0.63
cifar10_resnet18_loss_rate_0.7,cifar10,SVHN_mean,15.03	+/- 0.39,95.09	+/- 0.11,75.96	+/- 0.46
cifar10_resnet18_loss_rate_0.7,cifar10,Places365_mean,15.33	+/- 0.56,95.05	+/- 0.11,75.88	+/- 0.40
cifar10_resnet18_loss_rate_0.7,cifar10,LSUN_crop_mean,14.90	+/- 0.22,94.92	+/- 0.08,75.03	+/- 0.44
cifar10_resnet18_loss_rate_0.7,cifar10,LSUN_resize_mean,20.72	+/- 0.36,93.33	+/- 0.18,70.58	+/- 0.55
cifar10_resnet18_loss_rate_0.7,cifar10,CIFAR-100_mean,37.44	+/- 1.37,88.62	+/- 0.20,57.58	+/- 0.60
cifar10_resnet18_loss_rate_0.7,cifar10,mean,26.34733333333334,89.90400297222223,61.20530103573126
cifar10_resnet18_EL2N_rate_0.9,cifar10,Error Detection,25.612875719462803,92.9672963928034,45.785068390565634
cifar10_resnet18_EL2N_rate_0.9,cifar10,Gaussian Noise (sigma = 0.5)_mean,47.35	+/- 1.10,80.07	+/- 0.20,32.66	+/- 0.25
cifar10_resnet18_EL2N_rate_0.9,cifar10,Rademacher Noise_mean,62.97	+/- 0.79,63.55	+/- 0.34,19.43	+/- 0.14
cifar10_resnet18_EL2N_rate_0.9,cifar10,Blob_mean,21.04	+/- 0.62,93.27	+/- 0.14,69.88	+/- 0.46
cifar10_resnet18_EL2N_rate_0.9,cifar10,Textures_mean,31.13	+/- 1.13,89.99	+/- 0.25,59.77	+/- 0.62
cifar10_resnet18_EL2N_rate_0.9,cifar10,SVHN_mean,20.53	+/- 0.98,94.10	+/- 0.15,73.20	+/- 0.56
cifar10_resnet18_EL2N_rate_0.9,cifar10,Places365_mean,19.79	+/- 0.61,94.18	+/- 0.17,73.19	+/- 0.56
cifar10_resnet18_EL2N_rate_0.9,cifar10,LSUN_crop_mean,16.45	+/- 0.26,93.95	+/- 0.08,70.72	+/- 0.48
cifar10_resnet18_EL2N_rate_0.9,cifar10,LSUN_resize_mean,23.39	+/- 0.83,92.35	+/- 0.15,67.92	+/- 0.47
cifar10_resnet18_EL2N_rate_0.9,cifar10,CIFAR-100_mean,42.96	+/- 2.15,87.06	+/- 0.24,54.50	+/- 0.63
cifar10_resnet18_EL2N_rate_0.9,cifar10,mean,31.73477777777778,87.61202919444445,57.918531501814975
cifar10_resnet18_loss_rate_0.9,cifar10,Error Detection,22.601797990481227,93.63307603859906,45.33660565741254
cifar10_resnet18_loss_rate_0.9,cifar10,Gaussian Noise (sigma = 0.5)_mean,56.84	+/- 1.49,71.63	+/- 0.35,24.04	+/- 0.21
cifar10_resnet18_loss_rate_0.9,cifar10,Rademacher Noise_mean,58.09	+/- 0.81,65.80	+/- 0.23,20.42	+/- 0.11
cifar10_resnet18_loss_rate_0.9,cifar10,Blob_mean,18.29	+/- 0.57,94.03	+/- 0.13,71.07	+/- 0.58
cifar10_resnet18_loss_rate_0.9,cifar10,Textures_mean,28.38	+/- 1.01,91.05	+/- 0.10,63.12	+/- 0.21
cifar10_resnet18_loss_rate_0.9,cifar10,SVHN_mean,16.08	+/- 0.65,95.12	+/- 0.15,76.93	+/- 0.32
cifar10_resnet18_loss_rate_0.9,cifar10,Places365_mean,16.09	+/- 0.34,95.18	+/- 0.13,76.89	+/- 0.37
cifar10_resnet18_loss_rate_0.9,cifar10,LSUN_crop_mean,16.66	+/- 0.32,94.47	+/- 0.06,74.15	+/- 0.31
cifar10_resnet18_loss_rate_0.9,cifar10,LSUN_resize_mean,22.29	+/- 0.55,92.63	+/- 0.14,67.79	+/- 0.56
cifar10_resnet18_loss_rate_0.9,cifar10,CIFAR-100_mean,38.97	+/- 1.00,88.10	+/- 0.23,55.86	+/- 0.59
cifar10_resnet18_loss_rate_0.9,cifar10,mean,30.188555555555556,87.55735366666667,58.91932008669547
