epoch,model,loss,tesst-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,resnet18,1.6836172342300415,34.27,63.62939643396195,50.3239060952272,74.98010665521579,89.00045641259699,537.064805024652,246.7621836544613,18.708063662052155,19.474855661392212,89.27
2,resnet18,1.4342987537384033,52.8,73.42430662557781,77.23038303784355,66.65165822003388,84.04661016949152,279.4474650036825,144.65941450934483,4.434096813201904,13.21526288986206,84.11
3,resnet18,0.964867115020752,49.75,75.67033975849397,77.9478718194129,71.91301300397993,81.87064676616916,288.85253002345377,133.68699190923988,11.105546355247498,14.203656911849976,82.01
4,resnet18,0.8375974893569946,61.53,74.18020741433959,82.3969452935085,61.63609309548749,79.69846633740578,209.8671258837877,123.98469450130928,10.113324224948883,11.51159405708313,80.01
5,resnet18,0.6291235685348511,69.64,81.13140589775082,91.42801657731468,60.44459465573473,74.7364953886693,117.28529092869778,65.66444883445277,5.886310338973999,8.86893630027771,74.77
6,resnet18,0.5846892595291138,73.01,81.8931679586899,92.810506907043,59.03724453946057,72.17487958503149,97.11389995944145,56.884207917904284,5.833631753921509,8.02938163280487,72.51
7,resnet18,0.5815950632095337,69.21,80.5952873516777,91.04175662726988,59.60492266559534,76.16109126339721,121.61381699740967,68.42379847287214,10.414189845323563,9.147185683250427,76.32
8,resnet18,0.578346848487854,76.75,84.05312038107246,94.7997989334808,57.33885458830783,68.86021505376344,72.03017489683575,42.62356852903812,5.781584978103638,7.215982675552368,68.99
9,resnet18,0.5371843576431274,68.95,82.05515910967246,91.71685623133527,62.14735349604303,74.75040257648953,117.11140690411295,62.95963401989715,9.843047708272934,9.445884823799133,75.23
10,resnet18,0.6859020590782166,79.08,84.28060059227967,95.36150498885131,54.083903321852176,71.60611854684512,62.394729967701934,38.803546389533935,3.19918692111969,6.113260984420776,71.8
11,resnet18,0.554089367389679,77.6,82.7857200386598,94.32057189292219,55.34256694209856,70.80357142857143,74.0125831904942,46.80832401845475,5.849504470825195,6.834515929222107,70.94
12,resnet18,0.4887109696865082,79.74,84.19703622161957,95.52900827667902,52.99882828876641,70.33563672260613,59.73671653063812,37.667154764053365,3.533574938774109,6.030820608139038,70.68
13,resnet18,0.49839717149734497,80.22,85.13222233398096,95.84688678509717,55.27228827891012,66.88574317492416,56.03494754302075,35.03768217638998,4.809199646115303,6.006706953048706,67.29
14,resnet18,0.5048993825912476,78.73,85.45484137552474,95.7228497081389,56.19644287404595,67.98307475317348,60.07222934207334,35.651803333790994,5.099311470985413,6.292749047279358,68.08
15,resnet18,0.43425536155700684,81.49,85.71652605553814,96.44838646031033,53.5344202775046,69.09778498109131,48.70976944659619,30.411546673940443,3.2308652997016907,5.370071530342102,69.21
16,resnet18,0.3586729168891907,71.78,83.60572574006052,93.19123895697491,62.412642100060786,71.5450035435861,97.24102313922093,53.037877872043644,12.017768621444702,9.789977669715881,72.36
17,resnet18,0.43616852164268494,80.16,85.0002710053683,95.77029436630275,55.70218429675852,65.77620967741935,56.78414518433213,35.65441698340398,5.7151757180690765,6.125662326812744,65.88
18,resnet18,0.37691420316696167,81.73,86.03470677309264,96.57704675632439,54.38030969058736,63.984674329501914,47.1577406991995,29.347242909400823,4.242096096277237,5.459059476852417,64.59
19,resnet18,0.4778100550174713,81.11,86.50443270610224,96.49650733884678,57.012181351874894,63.57861302276336,48.87713767589851,29.792219600323765,3.558599203824997,5.607895255088806,63.84
20,resnet18,0.5294747352600098,80.64,83.567078045061,95.45131086212129,53.25367847376944,67.66528925619835,58.65341844943776,38.570846224120274,4.3402113020420074,5.81035315990448,67.67
21,resnet18,0.448885977268219,80.38,85.36408608548741,96.08824385185682,55.28317635310746,66.92150866462792,53.77873264767015,33.13250844977396,5.590832233428955,5.989578366279602,67.18
22,resnet18,0.40021857619285583,84.84,88.1428560543578,97.65894840489044,53.147002895333316,62.33509234828496,32.73919271144247,20.61874566924405,1.214261632412672,4.551025331020355,62.86
23,resnet18,0.3956398367881775,83.07,86.10476678661333,96.74833996810683,53.93550830668573,65.20968694624926,43.36011530607419,28.14380081197245,3.5293683409690857,4.979816377162933,65.45
24,resnet18,0.32301244139671326,82.27,87.08603335241266,96.93192841616438,54.594232546798914,64.12859560067682,43.14182390545842,26.402970942385,3.3906228840351105,5.403444170951843,64.47
25,resnet18,0.3710504174232483,85.08,88.04228255129063,97.69981819507933,53.27053027792408,64.00804289544236,32.046478382365585,20.317207246537112,2.1665869280695915,4.558461010456085,64.14
26,resnet18,0.3882378935813904,83.15,86.92617289193495,97.05240948006701,54.35601704114814,63.32344213649852,40.628512240194986,25.56020190051706,3.5150982439517975,5.13810932636261,63.74
27,resnet18,0.583123505115509,82.68,87.40793409243015,97.05982578517215,55.700800180032715,61.027713625866056,41.312524256629914,25.36364288772626,5.098966881632805,5.422452092170715,61.26
28,resnet18,0.4155828356742859,76.42,83.4305817211655,94.45291656988508,55.44131628866425,74.97879558948262,75.66903041597777,45.38208395734547,7.1928970515728,7.489657402038574,75.19
29,resnet18,0.32569819688796997,85.44,87.72011140778697,97.63480914226011,50.598193962107615,63.18681318681318,32.08999365722855,20.934798384419487,1.890735700726509,4.286991357803345,64.08
30,resnet18,0.21543793380260468,83.54,87.72865771622706,97.36219263679527,53.28766305189565,63.24422843256379,37.352541085390826,22.99474241357527,4.315013810992241,4.966692328453064,63.85
31,resnet18,0.4313698709011078,83.85,87.36245802341273,97.31037796547821,52.37087339840796,64.95356037151703,37.298333988556124,23.492309025831528,3.7718359380960464,4.915962815284729,65.14
