epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,156.82379865646362,6.6487109661102295,wrn,4.48433715375987,2.3577777777777778,4.395224401855469,2.68,73.72464511597377,7.715331130281193,98.83058543171636,81.51459103986848,947.4845399235905,71.28321081486145,0.5434632301330566,43.95224094390869,0.0
2,0.5,38.29771947860718,4.311534404754639,wrn,5.01983661077493,3.1003087227251322,4.305028625488282,3.84,67.8619130875624,9.132925026945326,97.75792356001291,85.26414309484193,932.7860446189585,96.35844088347523,1.9700843840837479,43.05027961730957,0.0
3,0.5,27.573480367660522,3.874397039413452,wrn,5.0539417399761986,4.309780830879947,4.334488903808594,4.279999999999999,71.81756515303593,12.563529354705306,97.77543280281131,89.39615545340577,917.0949520748319,94.76704722451146,4.294831678271294,43.34488868713379,0.0
4,0.5,27.620930433273315,3.7572836875915527,wrn,5.1491892004714295,5.672474268299696,4.231516772460938,6.77,70.16132494865465,18.220236819468095,96.33958693277185,88.38356752118418,876.0056191314331,125.99931713805968,10.2769635617733,42.315168380737305,88.49
5,0.5,29.031160593032837,3.9768335819244385,wrn,5.0487753330771605,6.620971270234796,3.8801435791015626,9.3,71.26904245355716,25.517968594710972,95.02840772996643,88.11466372657112,826.1228788645309,140.0123669466168,3.904934972524643,38.80143404006958,0.0
6,0.5,28.637707710266113,3.9053099155426025,wrn,4.94432362757231,7.584054642878173,3.8003220764160157,10.59,69.83020787094581,26.429427430396256,94.22409942595031,86.3549938485628,811.3651281533462,155.03816494643496,5.470135062932968,38.00321817398071,0.0
7,0.5,40.744524002075195,3.820932626724243,wrn,4.879257662667975,8.52747775893362,3.6374584777832033,12.72,69.62998431996495,30.669888872048436,92.71040202223728,87.72914757103575,776.3967961851132,165.882512876395,4.7095708549022675,36.37458562850952,87.88
8,0.5,78.95307517051697,5.001683712005615,wrn,4.789311807274362,9.833258224425418,3.6118414794921874,14.29,69.89604553705642,30.68938241079898,91.97181439295211,87.74938746937346,758.8118780704813,179.7395747996997,6.361198425292969,36.11841440200806,88.17
9,0.5,26.646661520004272,3.5152804851531982,wrn,4.625620770454407,11.3026704442703,3.6222190185546874,13.84,70.83406711401292,28.927569473429003,92.70996931318453,84.958217270195,767.3541645740876,179.4550060086093,6.260747462511063,36.222190856933594,85.04
10,0.5,23.841648817062378,3.5754575729370117,wrn,4.474510518740503,12.926976463488232,3.2584838989257814,17.47,69.50384765810992,35.814038295899834,90.28328856005882,84.29661941112323,713.3412075797589,192.83768788357824,6.985283643007278,32.58484125137329,84.62
11,0.5,25.983042001724243,3.7176129817962646,wrn,4.288954071296278,15.348879577336492,3.153763488769531,21.36,70.5771107421674,43.81858452427058,88.5560784657743,83.41810783316377,649.2933618493287,192.61703856633505,9.068692475557327,31.53763771057129,83.91
12,0.5,23.372982263565063,3.3831946849823,wrn,4.149064252153039,17.066023625652452,2.9469778747558593,24.44,73.39142152127182,52.70454062741495,87.91239097235756,81.68343038644785,585.3143094814474,174.0614577131872,7.030084729194641,29.469776153564453,82.0
13,0.5,24.60314130783081,3.5943500995635986,wrn,4.020813088717423,18.984261911361607,3.0275940979003906,24.27,71.49821669822056,50.226243554336115,86.88943240677864,84.18064175359831,598.9209630552089,185.26697170398222,9.8552905023098,30.275940895080566,84.27
14,0.5,23.70523190498352,3.486093521118164,wrn,3.9071592575027827,20.573910345897318,2.7542649963378905,28.54,73.27792869945912,56.769934248017194,85.22604440721419,82.3957458718164,534.0716047510532,177.3242687533582,6.100354716181755,27.54265308380127,82.49
15,0.5,25.698179721832275,3.5914013385772705,wrn,3.7994114944184445,21.760284440008736,2.74294931640625,29.880000000000003,73.46405969953211,56.0932469169942,85.18916199363863,79.82030804335425,525.0139768025527,184.758647528727,7.374689728021622,27.429494857788086,79.93
