epoch,rate/ratio,train_time,learning_rate,model,loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.3,18.041783809661865,0.0009938503261272714,wrn,0.3580193519592285,75.6,86.7965212724434,95.40417069618859,65.34810274243492,63.68852459016393,69.52037987448774,36.98409039325641,10.380834341049194,9.867302775382996,63.93
2,0.3,10.687393188476562,0.0009755527298894293,wrn,0.22175700962543488,75.69,86.70080317978478,95.40857732558253,64.25683902560165,64.91155902920609,69.30477729644102,37.019694825904864,10.291065275669098,9.895259737968445,65.03
3,0.3,11.05875277519226,0.0009455577588320897,wrn,0.27902740240097046,75.87,86.33333917795456,95.30867404101816,64.09745995747235,64.3597181931206,69.68338238669602,37.897504744028474,10.361552238464355,9.988842010498047,64.61
4,0.3,10.547656536102295,0.0009046039886902862,wrn,0.22192411124706268,75.7,86.51360416632691,95.35844686460761,64.0433723493608,64.11522633744856,69.70421704642948,37.4469803837585,10.566490888595581,10.01221776008606,64.32
5,0.3,10.681345701217651,0.0008536998372026805,wrn,0.3999479115009308,75.9,86.61986726365222,95.41757763564956,64.71375075272118,63.23651452282157,68.71671633813843,37.013624042297344,10.496671497821808,9.961627125740051,63.44
6,0.3,10.54692006111145,0.0007940987335200903,wrn,0.20783723890781403,75.95,86.40485383342526,95.37170876484643,64.60716887726161,64.61538461538461,69.002617436573,37.437237237295044,10.276161879301071,9.950093030929565,64.99
7,0.3,11.003692865371704,0.0007272682546199036,wrn,0.15239284932613373,75.85,86.57440382360849,95.38523221127926,64.85464709569833,63.68530020703934,69.09298350753474,37.251849734342535,10.453571379184723,10.038944482803345,63.89
8,0.3,10.64002537727356,0.0006548539886902863,wrn,0.2717244029045105,75.73,86.73997755454926,95.42099224171355,65.12453918794014,63.61763494025546,69.09079964230723,36.91702114997251,10.570821166038513,9.973284006118774,63.78
9,0.3,10.493691682815552,0.0005786390152875953,wrn,0.19774667918682098,75.88,86.63354943783979,95.40332176698492,64.31924287081037,65.38142620232172,68.87133446581343,37.113065116879106,10.509096831083298,9.96470332145691,65.75
10,0.3,10.917091131210327,0.0005005,wrn,0.26581841707229614,75.91,86.7447107378858,95.44290201594356,65.44915250297636,64.63262764632628,68.45965637518267,36.784132842174216,10.531989485025406,9.983863234519958,64.84
