epoch,cutting rate,train_time,test_time,model,train-loss,train-acc,test-loss,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr,num_cut
1,0.5,51.7422559261322,3.902890920639038,res18,4.850743919992081,4.15,4.604968516159057,6.370000000000001,68.24676978473838,16.44311763028071,96.32215554039823,87.84577592651928,886.3854344696869,125.48788910462282,2.9360055923461914,46.04968547821045,88.6,0
2,0.5,57.09914422035217,3.0905139446258545,res18,4.37745363907436,9.120000000000001,4.581072378921509,8.35,68.7860024631588,20.826816827157906,95.36496686414614,86.39388979814512,852.0531477968578,142.87601983182265,6.69458732008934,45.810723304748535,87.02,0
3,0.5,56.548304319381714,3.6921775341033936,res18,3.97297151009445,14.648,3.7754654975891113,17.04,73.05895199224922,40.52123308749989,91.83013416778766,81.13548698167791,697.0098101449186,168.95078579053003,4.599723219871521,37.75465726852417,81.86,0
4,0.5,54.01564168930054,3.8896305561065674,res18,3.651531278629742,19.671,3.6855175159454348,19.220000000000002,73.17505131420265,45.62289175454545,90.50598895365468,82.32235701906413,659.7241773828243,168.904027368935,9.389761090278625,36.855175495147705,82.85,0
5,0.5,52.37757396697998,3.610504627227783,res18,3.415353425323506,23.726,3.3502854705810545,24.279999999999998,76.29072817481557,56.620756683562526,89.36920292647926,79.05441098784998,568.7739252784556,155.2615062451172,7.014071196317673,33.50285053253174,0.0,0
6,0.5,56.60216498374939,3.0949161052703857,res18,3.2237385892502184,27.078999999999997,3.092979779434204,28.74,77.02049069624773,63.47089609677386,87.21388750125817,79.45551501543643,501.77130891674415,147.52470867065898,4.241641983389854,30.92979669570923,79.69,0
7,0.5,56.49339461326599,3.924211025238037,res18,3.0695648040917827,30.238,3.3213544582366943,26.150000000000002,76.36797238990201,59.852683063508636,88.57039524672174,77.03452945159106,539.9010332466476,152.15647356392464,9.291470050811768,33.21354627609253,77.12,0
8,0.5,58.06323456764221,3.8033666610717773,res18,2.950838114904321,32.440999999999995,3.3292692565917967,27.060000000000002,77.77668257339153,63.107109028548166,88.74061698177647,77.32382780367425,517.8528524997889,142.15778271400754,8.33880826830864,33.292691707611084,77.94,0
9,0.5,54.317359924316406,3.553570508956909,res18,2.8440565041568884,34.29,2.808824451828003,34.63,78.61687249871684,70.79041974819897,85.33284269331399,75.90637907296926,420.6187789338652,134.15255422265858,5.111466720700264,28.088243007659912,76.43,0
10,0.5,54.931293964385986,3.601787805557251,res18,2.758708165124859,36.04,2.8458919738769533,33.94,77.89107677151412,68.53835396974085,85.09106130606679,76.11262488646685,436.0300389838156,142.17750832999016,6.333222985267639,28.458921909332275,76.17,0
11,0.5,59.18510818481445,3.890900135040283,res18,2.6797318553070886,37.568,3.1503228942871093,30.930000000000003,78.41597509679076,67.27194237833906,87.10417840553546,75.9374547560446,465.9888113148227,138.23491657556403,9.67876985669136,31.50322914123535,76.15,0
12,0.5,55.63060784339905,3.1081836223602295,res18,2.6176121869050633,38.699,3.1446485218048097,30.78,77.41757969946,65.3856835505829,86.5830458420803,77.73764807859,475.8854449266412,146.367741648952,11.127931624650955,31.44648551940918,77.82,0
13,0.5,58.13933205604553,3.6474130153656006,res18,2.558733455970159,39.964,2.833227048110962,35.38,79.5580074248916,71.91758468555214,85.39035770079467,75.16248839368616,408.18481174095535,129.59132507028815,6.9285184144973755,28.332271575927734,75.58,0
14,0.5,57.60346698760986,3.1940810680389404,res18,2.506634385841887,41.038999999999994,2.7530637676239014,36.47,79.14517476959149,72.8108267897281,84.66393815549658,74.37431134896899,396.7052891036404,129.27095117542854,5.245695263147354,27.530641555786133,74.52,0
