epoch,rate/ratio,train_time,learning_rate,model,loss,train-acc,test-acc,auroc,aupr_success,aupr,fpr,aurc,eaurc,ece,nll,new_fpr
1,0.5,9.230021715164185,4.260385505646324e-05,res18,0.03791256248950958,0.99976,63.27,82.16562529543457,89.31036036551478,69.57421508045591,70.9774026681187,153.221045469993,75.54510329009007,8.377258479595184,15.20100712776184,71.17
2,0.5,7.251682281494141,4.5852048527676216e-05,res18,0.02268822118639946,0.99976,63.1,82.2754435468285,89.32893615692952,70.66549204373027,69.7560975609756,153.69330462206048,75.23688639628351,8.281303942203522,15.183686017990112,70.03
3,0.5,7.194815635681152,5.038716997104e-05,res18,0.012438392266631126,0.99956,63.0,82.10073573573574,89.19166296553472,69.95582178748062,70.45945945945947,155.0863539840673,76.16869352989927,8.40149074792862,15.288305282592773,70.57
4,0.5,7.161288738250732,5.619691020199613e-05,res18,0.034189678728580475,0.99972,63.01,82.20312142079861,89.27090519585175,70.13260725312995,70.28926736955934,154.46779832154292,75.5963334772465,8.145878463983536,15.256761312484741,70.45
5,0.5,7.176090955734253,6.326550047749567e-05,res18,0.03585999086499214,0.99968,63.1,82.30355954114216,89.37538377445829,70.08118845360134,70.94850948509485,153.39225322428263,74.93583499850564,8.328092843294144,15.195045471191406,71.06
6,0.5,7.1739113330841064,7.157375529537368e-05,res18,0.06497278809547424,0.99968,63.1,82.20058924836475,89.29956454074167,70.02783235705395,70.13550135501355,153.94071908068003,75.48430085490304,8.185474574565887,15.233103036880493,70.24
7,0.5,7.174942493438721,8.109912446746298e-05,res18,0.021922919899225235,0.99968,62.94,82.27839635517495,89.28140237920248,70.27000703712689,71.10091743119266,154.63307659563347,75.43790906067565,8.304057270288467,15.225342512130737,71.13
8,0.5,7.2419304847717285,9.181575432510507e-05,res18,0.02602594718337059,0.99968,63.0,82.25717074217076,89.27958544613362,70.30559589573868,70.05405405405405,154.42109257155735,75.50343211738931,8.303388208150864,15.226340293884277,70.14
9,0.5,7.2347636222839355,0.00010369455789093688,res18,0.020606372505426407,0.99968,62.83,82.43611744516797,89.30975256002422,70.54442007865794,70.51385525961797,154.77941488919342,75.0739984370574,8.166131377220154,15.23500919342041,71.0
10,0.5,7.292996644973755,0.00011670329382649656,res18,0.01684700883924961,0.99968,63.08,82.47910527895924,89.4603101964747,70.4168195520038,70.85590465872156,152.80761805998824,74.25907825185271,8.13358649611473,15.157690048217773,71.05
11,0.5,7.213159561157227,0.0001308066539413642,res18,0.018010172992944717,0.9996,62.92,82.34866872609591,89.33362742084334,70.41952415342654,70.361380798274,154.33668024589545,75.04888327240603,8.151434361934662,15.234543085098267,70.63
12,0.5,7.212877511978149,0.00014596635902632492,res18,0.012033352628350258,0.9996,63.21,82.32049774845873,89.42745588041609,70.17204123723378,69.72003261755913,152.61230027889832,74.66141817230343,8.14272090792656,15.146114826202393,70.05
13,0.5,7.224067687988281,0.000162141262750444,res18,0.017880616709589958,0.99964,63.22,82.28019737904818,89.39344937950072,69.94514502691345,70.20119630233823,152.81645865145882,74.91143940209061,8.407457917928696,15.173342227935791,70.42
14,0.5,7.242915153503418,0.00017928746334005608,res18,0.016880277544260025,0.99972,63.0,82.24946160446159,89.26690853665464,70.29730061874324,70.2972972972973,154.49941905634694,75.5817586021789,8.235149830579758,15.264651775360107,70.49
15,0.5,7.2833192348480225,0.00019735842273655216,res18,0.01726725697517395,0.99968,62.98,82.50575290038309,89.50926342818764,69.97523322009458,70.36736898973528,152.90639292822078,73.8962936327418,8.357333391904831,15.183145999908447,70.53
16,0.5,7.285446882247925,0.0002163050929095472,res18,0.019128818064928055,0.99956,63.03,82.2913261675694,89.31534169041882,70.2550905077593,70.11090073032187,154.04527176329154,75.26615052976615,8.206600695848465,15.228403806686401,70.22
17,0.5,7.213937282562256,0.00023607604898258838,res18,0.02181668020784855,0.9998,63.06,82.2671462504836,89.34136649265554,70.12922703890648,70.92582566323769,153.79703545718758,75.15631065515146,8.534537255764008,15.230294466018677,71.09
18,0.5,7.187841415405273,0.0002566176288100782,res18,0.007471801247447729,0.99964,63.16,82.50146853139641,89.49399240679836,70.5209875909765,70.22258414766557,152.26740558003485,74.08697183300542,8.208044618368149,15.144623517990112,70.41
19,0.5,7.210007429122925,0.0002778740786265729,res18,0.01864171028137207,0.99972,63.03,82.35571067115535,89.36248490380149,70.3788522967075,70.8412226129294,153.71678122149322,74.93765998796783,8.440770208835602,15.201882123947144,71.17
20,0.5,7.241605997085571,0.00029978770437313483,res18,0.021925348788499832,0.99956,62.99,82.4914373553974,89.4778623674087,70.4151058796257,69.1704944609565,153.06057383105144,74.0967018939959,8.020791411399841,15.176215171813965,69.36
21,0.5,7.198071718215942,0.0003222990282900119,res18,0.02309034951031208,0.99976,62.93,82.45163322202433,89.41045569870212,70.45767954773441,69.97572160776909,153.7458906468144,74.50441633792687,8.039005100727081,15.186586380004883,70.14
22,0.5,7.250370740890503,0.00034534695035062226,res18,0.024343984201550484,0.99964,63.07,82.31577995145149,89.36493663285883,70.37342626894234,69.97021391822366,153.56011194107617,74.96548756368976,8.326898515224457,15.221725702285767,70.11
23,0.5,7.324930429458618,0.00036886891409867897,res18,0.01379623543471098,0.99952,63.02,82.52478159431217,89.51751102400318,70.51432393481709,70.17306652244456,152.67010840935438,73.84482330443274,8.24095830321312,15.142285823822021,70.25
24,0.5,7.254048109054565,0.00039280107643834407,res18,0.014258323237299919,0.99968,63.05,82.13428996683045,89.23897172012964,70.00620330351646,71.2043301759134,154.56706864363116,75.88022755903226,8.41868668794632,15.263015031814575,71.31
25,0.5,7.19794225692749,0.00041707848091656664,res18,0.01890036091208458,0.99972,63.14,81.91387259036108,89.1598295446965,69.3700447078783,71.35105805751493,154.87462645670328,76.60226124139972,8.470684289932251,15.295747518539429,71.7
26,0.5,7.297773122787476,0.0004416352340272854,res18,0.021832387894392014,0.99976,63.07,82.42263752519078,89.43897384990255,70.40261252148636,70.02437043054427,153.0294570348722,74.4348326574858,8.319813758134842,15.1802659034729,70.11
27,0.5,7.24727463722229,0.000466404684058972,res18,0.013861996121704578,0.99964,63.02,82.43584925609304,89.4088828189165,70.33037903573171,70.25419145484045,153.40245504175329,74.57716993683164,8.278525620698929,15.179475545883179,70.47
28,0.5,7.276029348373413,0.0004913196020000876,res18,0.01972837746143341,0.99972,63.22,82.28579897159493,89.40083169248807,70.22189579023768,69.60304513322458,152.7660109867049,74.8609917373367,8.150442689657211,15.17214298248291,69.9
29,0.5,7.229619741439819,0.0005163123640114433,res18,0.02899029478430748,0.99948,63.05,82.29897014526564,89.36720587777775,70.1915457030052,70.87956698240866,153.64998288371734,74.96314179911845,8.361003547906876,15.197067260742188,70.99
30,0.5,7.221664190292358,0.0005413151349701959,res18,0.023479092866182327,0.99972,62.94,82.59607570475038,89.45452512058544,70.92021574443808,69.94063680518079,153.31217951964825,74.11701198469045,7.747942209243774,15.187338590621948,70.16
31,0.5,7.248687028884888,0.0005662600525873111,res18,0.02022148296236992,0.99964,63.07,82.28476038576919,89.36638489892597,70.18952223587178,70.51177904142973,153.58194282197988,74.98731844459347,8.206146955490112,15.230770111083984,71.16
32,0.5,7.207532167434692,0.000591079411598757,res18,0.021117422729730606,0.99968,62.88,82.37320753611148,89.30864816922055,70.58455262337282,70.36637931034483,154.63477517559684,75.16152858645466,8.012524992227554,15.250858068466187,70.53
33,0.5,7.192900896072388,0.0006157058475305051,res18,0.01405574195086956,0.9998,63.02,82.25592920873454,89.28917309505533,70.16672655767167,71.14656571119524,154.28496174137572,75.45967663645409,8.33791047334671,15.23497223854065,71.23
34,0.5,7.2447497844696045,0.0006400725195385604,res18,0.01584368385374546,0.99976,62.95,82.32590825141303,89.3069685742039,70.51049899943477,70.63427800269906,154.39227183292743,75.24339518375176,8.026763796806335,15.270626544952393,70.72
